Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
reviewid,irb_review,,text,Record ID,,Record ID - unique identifier for each IRB review for this protocol,,,,,,,,,,,
doctype,irb_review,"<div class=""blue""> <h1>IRB Review</div></h1>",radio,Type of Review,"IR, Initial Review | CR, Continuing Review | Ame, Amendment | OE, Other Event",,,,,,,,,,,,Used in Consent Tracking Log Plugin and Protocol Tracking Log
docnumber,irb_review,,text,Review Number,,,,,,,[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE',,,,,,Used in Consent Tracking Log Plugin and Protocol Tracking Log
protocoltitle,irb_review,,text,Protocol Title,,,,,,,[doctype] = 'IR',,,,,,
protocolnumber,irb_review,,text,Protocol Number,,,,,,,[doctype] = 'IR',,,,,,
dtesubmitted,irb_review,,text,Date of IRB Submission,,,date_mdy,,,,,,,,,,Used in Protocol Tracking Log Plugin
dteapproval,irb_review,,text,Date of IRB Approval ,,,date_mdy,,,,,,,,,,Used in Protocol Tracking Log Plugin
dteexpiration,irb_review,,text,IRB Expiration Date,,,date_mdy,,,,,,,,,,
approveddocs,irb_review,,checkbox,IRB Approved Documents,"1, Protocol Summary | 2, Detailed Protocol | 3, Consent Form(s) | 4, Data Collection Form(s)",check all applicable documents,,,,,,,,,,,
quesfdaproduct,irb_review,<h1>General Review Information</h1>,checkbox,Does this study involve any of the following products?,"1, Drug | 2, Device | 3, Biologic | 4, Not applicable",check all that apply,,,,,[doctype] = 'IR',,RH,,,,
quefdaproductamecr,irb_review,,checkbox,Did this review involve the addition of any of the following products?,"1, Drug | 2, Device | 3, Biologic | 4, Not applicable",check all that apply,,,,,[doctype] = 'Ame' or [doctype] = 'CR',,RH,,,,
quesindide,irb_review,,yesno,Are any of these product(s) regulated as an Investigational New Drug (IND)/Investigational Device Exemption (IDE)?,,,,,,,[quesfdaproduct(1)] = '1' or [quesfdaproduct(2)] = '1' or [quesfdaproduct(3)] = '1' or [quefdaproductamecr(1)] = '1' or [quefdaproductamecr(2)] = '1' or [quefdaproductamecr(3)] = '1',,RH,,,,
investrole,irb_review,,dropdown,What is the Principal Investigator's role as defined by the FDA?,"1, Clinical Investigator | 2, Sponsor Investigator",,,,,,[quesindide] = '1',,,,,,
quessponsor,irb_review,,yesno,Does this study involve an external fund source (e.g. NIH)?,,,,,,,[doctype] = 'IR',,RH,,,,
questionsponsoramecr,irb_review,,yesno,Did this review involve the addition of an external fund source (e.g. NIH)?,,,,,,,[doctype] = 'CR' or [doctype] = 'Ame',,RH,,,,
namesponsor,irb_review,,text,Sponsor Name,,,,,,,[quessponsor] = '1' or [questionsponsoramecr] = '1',,,,,,
