"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
reviewid,hrc_review,,text,"Record ID",,"Record ID - unique identifier for each IRB review for this protocol",,,,,,,,,,,
doctype,hrc_review,"<div class=""blue""> <h1>HRC Review</div></h1>",radio,"Review Type","IR, Initial Review | CR, Continuing Review | Ame, Amendment | OE, Other Event","Other events with related regulatory documents include new DSMB/DMC report, updated product information",,,,,,,,,,,
docnumber,hrc_review,,text,"Review Number",,,,,,,"[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE'",,,,,,
protocoltitle,hrc_review,,text,"Protocol Title",,,,,,,"[doctype] = 'IR'",,,,,,
protocolnumber,hrc_review,,text,"Protocol Number",,,,,,,"[doctype] = 'IR'",,,,,,
dtesubmitted,hrc_review,,text,"Date Submitted to IRB",,,date_mdy,,,,,,,,,,
dteapproval,hrc_review,,text,"IRB Approval Date",,"refer to Approval Effective/Activation Date on HRC letter",date_mdy,,,,,,,,,,
dteexpiration,hrc_review,,text,"IRB Expiration Date",,"refer to approval letter",date_mdy,,,,,,,,,,
approveddocs,hrc_review,,checkbox,"IRB Approved Documents","1, Protocol Summary | 2, Detailed Protocol | 3, Consent Form(s) | 4, Data Collection Form(s)","check all applicable documents",,,,,,,,,,,
quesfdaproduct,hrc_review,"<h1>General Review Information</h1>",checkbox,"Does this study involve any of the following products?","1, Drug | 2, Device | 3, Biologic | 4, Not applicable","check all that apply",,,,,"[doctype] = 'IR'",,RH,,,,
quefdaproductamecr,hrc_review,,checkbox,"Did this review involve the addition of any of the following products?","1, Drug | 2, Device | 3, Biologic | 4, Not applicable","check all that apply",,,,,"[doctype] = 'Ame' or [doctype] = 'CR'",,RH,,,,
quesindide,hrc_review,,yesno,"Are any of these product(s) regulated as an IND/IDE?",,,,,,,"[quesfdaproduct(1)] = '1' or [quesfdaproduct(2)] = '1' or [quesfdaproduct(3)] = '1' or [quefdaproductamecr(1)] = '1' or [quefdaproductamecr(2)] = '1' or [quefdaproductamecr(3)] = '1'",,RH,,,,
investrole,hrc_review,,dropdown,"What is the Principal Investigator's Role","1, Clinical Investigator | 2, Sponsor Investigator",,,,,,"[quesindide] = '1'",,,,,,
quessponsor,hrc_review,,yesno,"Does this study involve an external fund source (e.g. NIH)?",,,,,,,"[doctype] = 'IR'",,RH,,,,
questionsponsoramecr,hrc_review,,yesno,"Did this review involve the addition of an external fund source (e.g. NIH)?",,,,,,,"[doctype] = 'CR' or [doctype] = 'Ame'",,RH,,,,
namesponsor,hrc_review,,text,"Sponsor Name",,,,,,,"[quessponsor] = '1' or [questionsponsoramecr] = '1'",,,,,,
queslabproc,hrc_review,,yesno,"Does the study involve laboratory procedures, such as the collection, processing and analysis of specimens?",,,,,,,"[doctype] = 'IR'",,RH,,,,
quesdsmb,hrc_review,,yesno,"Does this study involve a Data Safety Monitoring Board (DSMB)?",,,,,,,"[doctype] = 'IR'",,RH,,,,
quesamecrchanges,hrc_review,,checkbox,"Did this review involve the following changes?","1, Add laboratory procedures | 2, Add new staff | 3, Add DSMB","check all applicable changes",,,,,"[doctype] = 'CR' or [doctype] = 'Ame'",,,,,,
review_description,protocol,,descriptive,"<div class=""blue""> <h1>HRC Review: [doctype] [docnumber] </div></h1>",,,,,,,"[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE'",,,,,,
initialreview_description,protocol,,descriptive,"<div class=""blue""> <h1>HRC Review: [doctype] </h1></div>",,,,,,,"[doctype] = 'IR'",,,,,,
requirementsprotocol,protocol,,descriptive,,,,,,,,"[approveddocs(1)] = '1' or [approveddocs(2)] = '1'",,,,,,
quechangeps,protocol,"<div class=""red""> <h1>IRB Approved Protocol Summary</div></h1>",yesno,"Were there changes to the protocol summary?",,,,,,,"([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and [approveddocs(1)] = '1'",,RH,,,,
pschange,protocol,,notes,"Description of Protocol Summary Change(s)",,,,,,,"[quechangeps] = '1'",,,,,,
psversiondte,protocol,,text,"Version Date",,,date_mdy,,,,"[approveddocs(1)] = '1'",,,,,,
psversionnum,protocol,,text,"Version Number",,"(e.g.  1.0, 1.1, 1.2, 2.0)",,,,,"[approveddocs(1)] = '1'",,,,,,
pscopy,protocol,,file,"Approved Protocol Summary",,"If protocol summary is stored outside of this application upload note to file indicating the location",,,,,"[approveddocs(1)] = '1'",,,,,,
quechangedp2,protocol,"<div class=""red""> <h1>IRB Approved Detailed Protocol </div></h1>",yesno,"Were there changes to the Detailed Protocol?",,,,,,,"([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and ([approveddocs(2)] = '1' and [approveddocs(1)] = '0')",,RH,,,,
quechangedp,protocol,,yesno,"Are the changes to the detailed protocol the same as the protocol summary?",,,,,,,"([doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE') and ([approveddocs(2)] = '1' and [approveddocs(1)] = '1')",,RH,,,,
pschangedp,protocol,,notes,"Description of Detailed Protocol Change(s)",,,,,,,"[quechangedp] = '0' or [quechangedp2] = '1'",,,,,,
dpversiondte,protocol,,text,"Version Date",,,date_mdy,,,,"[approveddocs(2)] = '1'",,,,,,
dpversionnum,protocol,,text,"Version Number",,"(e.g.  1.0, 1.1, 1.2, 2.0)",,,,,"[approveddocs(2)] = '1'",,,,,,
dpcopy,protocol,,file,"Approved Detailed Protocol",,"Attach copy of the fully executed protocol signature page, when applicable. If the detailed protocol is stored outside of this application upload note to file indicating the location ",,,,,"[approveddocs(2)] = '1'",,,,,,
review_description_sd,staff_documents,,descriptive,"<div class=""blue""> <h1>HRC Review: [doctype] [docnumber] </div></h1>",,,,,,,"[doctype] = 'CR' or [doctype] = 'Ame' or [doctype] = 'OE'",,,,,,
initialreview_description_sd,staff_documents,,descriptive,"<div class=""blue""> <h1>HRC Review: [doctype]</h1></div>",,,,,,,"[doctype] = 'IR'",,,,,,
requirementscvlicense,staff_documents,,descriptive,"If documentation of staff qualifications are kept centrally or with the department, upload note to file in the appropriate CV/medical license field.  For additional guidance on staff documentation see attached pdf.",,,,,,,"[doctype] = 'IR' or [quesamecrchanges(2)] = '1'",,,,,,
numstaff,staff_documents,"<div class=""red""> <h1>Staff Documents</div></h1>",dropdown,"Number of IRB Approved Study Staff","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","captures information for up to 10 study staff per review",,,,,"[doctype] = 'IR' or [quesamecrchanges(2)] = '1'",,,,,,
namestaff1,staff_documents,"<h1>Staff 1</h1>",text,Name,,,,,,,"[numstaff] > 0",,,,,,
credentialsstaff1,staff_documents,,dropdown,Credentials,"1, BA | 2, BS | 3, JD | 4, MD | 5, MPH | 6, MS | 7, NP | 8, PharmD | 9, PhD | 10, RN",,,,,,"[numstaff] > 0",,,,,,
titlestaff1_rev,staff_documents,,dropdown,Title,"1, Co-Investigator | 2, Data Manager | 3, Intern | 4, Laboratory Technician/Technologist | 5, Other | 6, Principal Investigator | 7, Regulatory Coordinator/Manager | 8, Research Assistant | 9, Research Coordinator/Manager | 10, Research Nurse | 11, Student",,,,,,"[numstaff] > 0",,,,,,
initialsstaff1,staff_documents,,text,Initials,,,,,,,"[numstaff] > 0",,RH,,,,
startdatestaff1,staff_documents,,text,"Start Date",,,date_mdy,,,,"[numstaff] > 0",,,,,,
enddatestaff1,staff_documents,,text,"End Date",,,date_mdy,,,,"[numstaff] > 0",,,,,,
quedoctrainingstaff1,staff_documents,,checkbox,"Documentation of Training","1, CV | 2, License | 3, Other","check all that apply",,,,,"[numstaff] > 0",,RH,,,,
cvstaff1,staff_documents,,file,"Current CV",,,,,,,"[numstaff] > 0 and [quedoctrainingstaff1(1)] = 1",,,,,,
